sampno,perid,perno,relationship,gender,employment,student,education,license,vehno,vehicle_string,drive_freq,transit_freq,tnc_freq,job_type,work_mode,work_distance,work_days,school_mode,school_distance,ethnicity,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_6_x
190001,190001.p01,1,8,1,4,4,6,1,190001.v01,REDACTED,3,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190003,190003.p01,1,8,2,4,4,8,1,190003.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190002,190002.p01,1,8,2,4,4,1,2, ,, ,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190005,190005.p01,1,8,1,4,4,6,1,190005.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190002,190002.p02,2,1,1,1,4,2,1, ,,1,0,0,4, , , , , ,2,0,0,0,0,1,0,0, 
190002,190002.p03,3,2,2,4,4,2,2, ,, ,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190002,190002.p04,4,2,2,4,4,2,2, ,, ,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190002,190002.p05,5,2,1,4,4,2,2, ,, ,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190005,190005.p02,2,1,2,4,4,6,1,190005.v01,,1,0,0, , , , , , ,2,0,1,0,0,0,0,0, 
190004,190004.p01,1,8,2,4,1,4,2, ,, ,0,2, , , , ,3,5,1,0,0,0,0,1,0,0, 
190004,190004.p02,2,5,1,1,4,3,1,190004.v01,,1,0,0,1,1,10,5, , ,1,0,0,0,0,1,0,0, 
190004,190004.p03,3,5,2,4,4,1,2, ,, ,1,0, , , , , , ,1,0,0,0,0,1,0,0, 
190009,190009.p01,1,8,2,2,4,3,1,190009.v03,,1,0,0,1,1,10,4, , ,2,0,0,0,0,1,0,0, 
190009,190009.p02,2,1,1,4,4,4,1,190009.v02,,1,0,0, , , , , , ,2,1,0,0,0,0,0,0, 
190009,190009.p03,3,1,2,2,4,3,1,190009.v03,,1,0,0,1,1,6,5, , ,2,0,0,0,0,1,0,0, 
190006,190006.p01,1,8,1,4,4,6,1,190006.v01,,1,0,0, , , , , , ,2,0,1,0,0,0,0,0, 
190007,190007.p01,1,8,2,2,4,6,1,190007.v02,,1,0,0,1,1,15,3, , ,2,0,0,0,0,1,0,0, 
190012,190012.p01,1,8,2,1,4,5,1,190012.v01,,1,0,0,1,18,8,5, , ,2,0,0,0,0,1,0,0, 
190012,190012.p02,2,1,1,4,4,5,1,190012.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190011,190011.p01,1,8,2,4,4,6,1,190011.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190013,190013.p02,2,1,1,2,4,6,1,190013.v02,,2,0,0,3, , , , , ,2,0,0,0,0,0,0,1, 
190010,190010.p01,1,8,1,1,4,7,1,190010.v01,,1,0,0,1,1,6,5, , ,2,0,0,0,0,1,0,0, 
190010,190010.p02,2,1,2,4,4,8,1, ,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190014,190014.p01,1,8,1,4,4,8,1,190014.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190014,190014.p02,2,1,3,4,4,6,1,190014.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190016,190016.p01,1,8,2,1,4,4,1,190016.v01,,3,0,0,1,2,10,5, , ,2,0,0,0,0,1,0,0, 
190015,190015.p01,1,8,1,1,4,6,1,190015.v01,,1,0,0,1,1,8,5, , ,2,0,1,0,0,0,0,0, 
190019,190019.p02,2,1,1,3,4,4,1,190019.v02,,1,0,0,4, , , , , ,1,0,0,0,0,1,0,0, 
190017,190017.p01,1,8,2,4,4,3,1,190017.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190018,190018.p01,1,8,1,4,4,4,1,190018.v01,,1,7,0, , , , , , ,2,0,0,0,0,1,0,0, 
190018,190018.p02,2,1,2,4,4,2,1,190018.v02,,2,5,0, , , , , , ,2,0,0,0,0,1,0,0, 
190023,190023.p01,1,8,2,4,4,6,1,190023.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
190023,190023.p02,2,1,1,1,4,6,1,190023.v01,,1,0,0,1,1,10,5, , ,2,0,1,0,0,0,0,0, 
190073,190073.p01,1,8,2,1,4,4,1, ,,3,2,10,1,14,5,5, , ,1,0,0,0,0,1,0,0, 
