sampno,vehno,vehicle_num,num_hh_vehicles,year,make,make_other,make_clean,model,model_other,model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
190001,1,1,1,1998,TOYOTA, ,TOYOTA,REDACTED,REDACTED,REDACTED,1,1,6,6, ,0,0,0,0,1, ,1998, ,1000, ,2, ,2, ,25,6,1,190001.p01, , , , , , , , , , , , 
190003,1,1,2,2015,LEXUS, ,LEXUS,,,,1,1,3,3, ,0,0,0,0,1, ,2015, ,5000, ,2, ,2, ,37,3,1,190003.p01, , , , , , , , , , , , 
190005,2,2,2,2002,CHRYSLER, ,CHRYSLER,,,,1,1,2,2, ,0,0,0,0,1, ,2003, ,2500, ,2, ,2, ,20,6,1,190005.p01, , , , , , , , , , , , 
190006,1,1,2,2018,TOYOTA, ,TOYOTA,,,,1,1,8,8, ,0,0,0,0,1, ,2017, ,10000, ,2, ,2, ,23,4,1,190006.p01, , , , , , , , , , , , 
190009,3,3,3,2002,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,1, ,2002, ,6000, ,2, ,2, ,18,6,3,190009.p03, , , , , , , , , , , , 
190007,2,2,2,2010,LEXUS, ,LEXUS,,,,2,2,2,2, ,1,0,0,0,3, ,2012, ,4000, ,2, ,2, ,30,3,1,190007.p01, , , , , , , , , , , , 
190011,1,1,2,1980,HONDA, ,HONDA,,,,1,1,1,1, ,0,0,0,0,1, ,1980, ,5000, ,2, ,2, ,30,2,1,190011.p01, , , , , , , , , , , , 
190010,1,1,1,2019,LEXUS, ,LEXUS,,,,1,1,6,6, ,0,0,0,0,1, ,2019,12,5000, ,2, ,2, ,18,5,1,190010.p01, , , , , , , , , , , , 
190014,2,2,2,2004,LEXUS, ,LEXUS,,,,1,1,3,3, ,0,0,0,0,1, ,2003, ,3500, ,2, ,2, ,21,2,2,190014.p02, , , , , , , , , , , , 
190015,1,1,2,2015,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,1, ,2015, ,34589, ,2, ,2, ,30,1,1,190015.p01, , , , , , , , , , , , 
190017,1,1,2,2000,HONDA, ,HONDA,,,,1,1,10,10, ,0,0,0,0,3, ,2018,3,12000, ,2, ,2, ,26,5,1,190017.p01, , , , , , , , , , , , 
190018,2,2,2,2017,LEXUS, ,LEXUS,,,,2,2,6,6, ,1,0,0,0,1, ,2017, ,10000, ,2, ,2, ,25,5,2,190018.p02, , , , , , , , , , , , 
190024,1,1,1,2012,FORD, ,FORD,,,,1,1,13,13, ,0,0,0,0,3, ,2016, ,3000, ,2, ,2, ,27,4,1,190024.p01, , , , , , , , , , , , 
190029,1,1,2,2004,DODGE, ,DODGE,,,,1,1,13,13, ,0,0,0,0,1, ,2004, ,2000, ,2, ,2, ,17,6,1,190029.p01, , , , , , , , , , , , 
190035,1,1,2,2015,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,1, ,2014, ,10000, ,2, ,2, ,28,3,1,190035.p01, , , , , , , , , , , , 
190033,1,1,1,1995,VOLKSWAGEN, ,VOLKSWAGEN,,,,1,1,1,1, ,0,0,0,0,3, ,2004, ,130000, ,2, ,2, ,16,2,1,190033.p01, , , , , , , , , , , , 
190031,2,2,2,2003,TOYOTA, ,TOYOTA,,,,1,1,4,4, ,0,0,0,0,1, ,2003, ,3000, ,2, ,2, ,25,3,2,190031.p02, , , , , , , , , , , , 
190037,1,1,1,2018,HONDA, ,HONDA,,,,1,1,8,8, ,0,0,0,0,2, ,2018,3,10000, ,2, ,2, ,28,7,2,190037.p02, , , , , , , , , , , , 
190040,1,1,2,2018,ACURA, ,ACURA,,,,1,1,6,6, ,0,0,0,0,1, ,2017, ,1400, ,2, ,2, ,21,4,1,190040.p01, , , , , , , , , , , , 
190046,3,3,4,2007,LEXUS, ,LEXUS,,,,1,1,3,3, ,0,0,0,0,1, ,2006, ,10000, ,2, ,2, ,25,4,2,190046.p02, , , , , , , , , , , , 
190042,2,2,2,2015,HYUNDAI, ,HYUNDAI,,,,1,1,4,4, ,0,0,0,0,3, ,2018,7,10000, ,2, ,2, ,35,4,2,190042.p02, , , , , , , , , , , , 
190045,1,1,1,2008,HONDA, ,HONDA,,,,1,1,1,1, ,0,0,0,0,1, ,2008, ,8000, ,2, ,2, ,20,6,1,190045.p01, , , , , , , , , , , , 
190048,1,1,1,2010,HONDA, ,HONDA,,,,1,1,6,6, ,0,0,0,0,1, ,2010, ,10000, ,2, ,2, ,23,4,1,190048.p01, , , , , , , , , , , , 
190053,1,1,2,2011,NISSAN, ,NISSAN,,,,1,1,7,7, ,0,0,0,0,1, ,2011, ,10000, ,2, ,2, ,19,2,2,190053.p02, , , , , , , , , , , , 
190056,2,2,2,2002,LEXUS, ,LEXUS,,,,1,1,8,8, ,0,0,0,0,1, ,2002, ,200, ,2, ,2, ,18,7,1,190056.p01, , , , , , , , , , , , 
190051,1,1,1,2006,LEXUS, ,LEXUS,,,,1,1,3,3, ,0,0,0,0,6, ,2018,7,15000, ,2, ,2, ,27,5,1,190051.p01, , , , , , , , , , , , 
190054,1,1,1,2018,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,1, ,2017, ,6000, ,2, ,2, ,35,4,1,190054.p01, , , , , , , , , , , , 
190059,2,2,2,1985,TOYOTA, ,TOYOTA,,,,1,1,5,5, ,0,0,0,0,1, ,1985, ,1500, ,2, ,2, ,28,6,1,190059.p01, , , , , , , , , , , , 
190055,1,1,2,2010,TOYOTA, ,TOYOTA,,,,2,2,3,3, ,1,0,0,0,1, ,2010, ,10000, ,2, ,2, ,45,6,1,190055.p01, , , , , , , , , , , , 
190057,1,1,1,2013,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,3, ,2015, ,4000, ,2, ,2, ,26,3,1,190057.p01, , , , , , , , , , , , 
190064,1,1,2,2018,HONDA, ,HONDA,,,,1,1,2,2, ,0,0,0,0,1, ,2018,1,1200, ,2, ,2, ,30,4,1,190064.p01, , , , , , , , , , , , 
