sampno,perid,y,ann_mile,tnc_veh,delivery,county,region,hh_veh,hh_size,hh_emp,charge_work,elec_acc,housing,hh_inc,gender,employ,stu,hh_drv,drive_freq,race
190001,190001.p01,0,1000.0,2,2,38,5,1,1,1,,1,2,2.0,1,2.0,3.0,1,3,6.0
190003,190003.p01,0,5000.0,2,2,30,2,2,2,2,,1,1,2.0,2,2.0,3.0,2,1,6.0
190003,190003.p02,0,30000.0,2,2,30,2,2,2,2,,1,1,2.0,1,1.0,3.0,2,2,6.0
190005,190005.p01,0,2500.0,2,2,7,5,2,2,2,,1,1,3.0,1,2.0,3.0,2,2,6.0
190005,190005.p02,0,3000.0,2,2,7,5,2,2,2,,1,1,3.0,2,2.0,3.0,2,1,3.0
190006,190006.p01,0,10000.0,2,2,34,6,2,2,2,,,2,3.0,1,2.0,3.0,2,1,3.0
190006,190006.p02,0,2500.0,2,2,34,6,2,2,2,,,2,3.0,1,1.0,1.0,2,1,3.0
190009,190009.p03,0,6000.0,2,2,34,6,3,3,3,,1,1,2.0,2,1.0,3.0,3,1,6.0
190009,190009.p02,0,4000.0,2,2,34,6,3,3,3,,1,1,2.0,1,2.0,3.0,3,1,2.0
190009,190009.p01,0,10000.0,1,2,34,6,3,3,3,,1,1,2.0,2,1.0,3.0,3,1,6.0
190007,190007.p01,0,4000.0,2,2,37,4,2,2,2,3,1,1,4.0,2,1.0,3.0,2,1,6.0
190007,190007.p02,0,5000.0,2,2,37,4,2,2,2,3,1,1,4.0,1,1.0,3.0,2,1,6.0
190011,190011.p01,0,5000.0,2,2,28,5,2,2,2,,1,1,2.0,2,2.0,3.0,2,1,6.0
190011,190011.p02,0,7500.0,2,2,28,5,2,2,2,,1,1,2.0,1,2.0,3.0,2,1,6.0
190010,190010.p01,0,5000.0,2,2,19,2,1,2,2,,10,1,,1,1.0,3.0,2,1,6.0
190014,190014.p02,0,3500.0,2,2,33,2,2,2,2,,1,1,4.0,3,2.0,3.0,2,1,6.0
190014,190014.p01,0,12000.0,2,2,33,2,2,2,2,,1,1,4.0,1,2.0,3.0,2,2,6.0
190015,190015.p01,0,34589.0,2,2,19,2,2,3,3,2,1,1,2.0,1,1.0,3.0,3,1,3.0
190015,190015.p03,0,43612.0,2,2,19,2,2,3,3,2,1,1,2.0,1,1.0,3.0,3,1,3.0
190017,190017.p01,0,12000.0,2,2,33,2,2,5,2,,4,1,1.0,2,2.0,3.0,2,1,6.0
190017,190017.p02,0,12000.0,2,2,33,2,2,5,2,,4,1,1.0,1,1.0,3.0,2,1,4.0
190018,190018.p02,0,10000.0,2,2,33,2,2,2,2,,,1,2.0,2,2.0,3.0,2,2,6.0
190018,190018.p02,0,10000.0,2,2,33,2,2,2,2,,,1,2.0,2,2.0,3.0,2,2,6.0
190024,190024.p01,0,3000.0,2,2,10,1,1,2,2,2,6,1,1.0,1,1.0,1.0,1,1,6.0
190029,190029.p01,0,2000.0,2,2,40,3,2,2,2,,4,1,2.0,1,2.0,3.0,2,1,6.0
190029,190029.p02,0,2000.0,2,2,40,3,2,2,2,,4,1,2.0,2,2.0,2.0,2,1,6.0
190035,190035.p01,0,10000.0,2,2,1,5,2,2,2,2,1,1,3.0,1,1.0,3.0,2,1,6.0
190035,190035.p02,0,9000.0,2,2,1,5,2,2,2,2,1,1,3.0,2,2.0,3.0,2,1,6.0
190033,190033.p01,0,130000.0,2,2,1,5,1,1,1,,10,5,1.0,1,2.0,3.0,1,2,6.0
190031,190031.p02,0,3000.0,2,2,19,2,2,2,2,2,10,5,,1,2.0,3.0,2,2,6.0
190031,190031.p01,0,7000.0,2,2,19,2,2,2,2,2,10,5,,2,1.0,3.0,2,1,6.0
190037,190037.p02,0,10000.0,2,2,37,4,1,2,2,,10,6,3.0,2,1.0,3.0,2,2,6.0
190040,190040.p01,0,1400.0,2,2,19,2,2,2,2,,1,1,4.0,1,2.0,3.0,2,1,6.0
190040,190040.p02,0,1200.0,2,2,19,2,2,2,2,,1,1,4.0,2,2.0,3.0,2,1,6.0
190046,190046.p02,0,10000.0,2,2,7,5,4,3,3,,1,1,,2,2.0,3.0,3,1,3.0
190046,190046.p03,0,10000.0,2,2,7,5,4,3,3,,1,1,,1,1.0,1.0,3,1,3.0
190046,190046.p01,0,10000.0,2,2,7,5,4,3,3,,1,1,,1,2.0,3.0,3,1,3.0
190046,190046.p01,0,5000.0,2,2,7,5,4,3,3,,1,1,,1,2.0,3.0,3,1,3.0
190042,190042.p02,0,10000.0,2,2,54,1,2,4,2,,1,1,2.0,1,1.0,3.0,2,1,5.0
190042,190042.p01,0,10000.0,2,2,54,1,2,4,2,,1,1,2.0,2,2.0,3.0,2,1,6.0
190045,190045.p01,0,8000.0,2,2,31,6,1,3,3,,1,2,1.0,2,1.0,3.0,2,2,6.0
190048,190048.p01,0,10000.0,2,2,34,6,1,1,1,,1,1,,2,2.0,3.0,1,1,6.0
190053,190053.p02,0,10000.0,2,2,30,2,2,2,2,,1,1,,2,1.0,3.0,2,1,6.0
190053,190053.p01,0,3000.0,2,2,30,2,2,2,2,,1,1,,1,2.0,3.0,2,1,6.0
190056,190056.p01,0,200.0,2,2,19,2,2,2,2,,,1,3.0,1,2.0,3.0,2,3,6.0
190056,190056.p01,0,400.0,2,1,19,2,2,2,2,,,1,3.0,1,2.0,3.0,2,3,6.0
190051,190051.p01,0,15000.0,2,2,36,2,1,1,1,2,10,6,,1,1.0,3.0,1,1,3.0
190054,190054.p01,0,6000.0,2,2,37,4,1,1,1,,2,1,3.0,1,2.0,3.0,1,2,6.0
190059,190059.p01,0,1500.0,2,2,19,2,2,1,1,,1,1,1.0,1,2.0,3.0,1,2,6.0
190059,190059.p01,0,4000.0,2,2,19,2,2,1,1,,1,1,1.0,1,2.0,3.0,1,2,6.0
190055,190055.p01,0,10000.0,2,2,1,5,2,2,2,,1,1,2.0,1,2.0,3.0,2,1,6.0
190055,190055.p02,0,5000.0,2,2,1,5,2,2,2,,1,1,2.0,2,2.0,3.0,2,1,6.0
190057,190057.p01,0,4000.0,2,2,19,2,1,1,1,,1,1,1.0,2,2.0,3.0,1,1,6.0
190064,190064.p01,0,1200.0,2,2,37,4,2,2,2,,10,5,2.0,2,2.0,3.0,2,2,6.0
190064,190064.p02,0,2000.0,2,2,37,4,2,2,2,,10,5,2.0,1,1.0,3.0,2,1,6.0
190066,190066.p01,0,5000.0,2,2,30,2,1,1,1,,10,6,1.0,1,2.0,3.0,1,1,6.0
190065,190065.p02,0,5000.0,2,2,19,2,2,2,2,,,2,3.0,1,1.0,3.0,2,1,3.0
190065,190065.p01,0,7000.0,2,2,19,2,2,2,2,,,2,3.0,2,1.0,3.0,2,1,3.0
190078,190078.p01,0,10000.0,2,2,56,2,2,2,2,,3,3,1.0,2,2.0,3.0,2,1,6.0
190078,190078.p02,0,12000.0,2,2,56,2,2,2,2,,3,3,1.0,1,1.0,3.0,2,1,6.0
190067,190067.p01,0,10000.0,2,2,30,2,1,3,3,,,1,2.0,2,2.0,3.0,3,2,6.0
190077,190077.p01,0,5000.0,2,2,56,2,1,1,1,,,5,2.0,1,2.0,3.0,1,1,6.0
190076,190076.p01,0,1000.0,2,2,12,3,3,2,1,2,6,6,1.0,2,1.0,3.0,1,1,2.0
190076,190076.p01,0,29000.0,2,2,12,3,3,2,1,2,6,6,1.0,2,1.0,3.0,1,1,2.0
190076,190076.p01,0,6000.0,2,2,12,3,3,2,1,2,6,6,1.0,2,1.0,3.0,1,1,2.0
